2/4/2021,7777,Transaction 51,$150
1/5/2021,,Transaction 52,$700
1/6/2021,,Transaction 53,"-$1,304"
1/7/2021,,Transaction 54,$47
1/8/2021,,Transaction 55,$817
1/11/2021,1934,Transaction 56,"-$1,003"
1/12/2021,7307,Transaction 57,$532
1/13/2021,1352,Transaction 58,-$705
1/14/2021,,Transaction 59,$98
1/15/2021,,Transaction 60,-$205
1/25/2021,,Transaction 61,"$1,056"
1/26/2021,,Transaction 62,$550
1/27/2021,,Transaction 63,-$826
1/28/2021,4250,Transaction 64,$213
1/29/2021,,Transaction 65,$196
2/2/2021,9915,Transaction 66,-$464
2/3/2021,,Transaction 67,$78
2/4/2021,,Transaction 68,$269
2/5/2021,,Transaction 69,"$1,361"
2/8/2021,,Transaction 70,-$594
2/9/2021,9125,Transaction 71,$467
2/10/2021,,Transaction 72,$39
2/11/2021,7929,Transaction 73,-$82
2/12/2021,,Transaction 74,$256
2/12/2021,,Transaction 75,$14
